NARRATIVE,target,split
employee|alleges|he|struck|his|kneecap|on|rung|a|he|be|ascend|ladder|at|date|of|report|he|have|be|diagnose|a|unable|to|return|to|work|pending|an|mri|and|any|recommend|treatment,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
at|7:22|be|roof|fall|be|discover|by|an|examiner|in|the|main|east|at|cross-cut|83|at|old|4a|header|between|number|and|number|entry|the|fall|measure|18|wide|30|long|high.|there|be|no|injury|or|witness|also|no|disruption|to|ventilation|or|passage|of|personnel|the|main|east|belt|line|be|affected,O|O|O|O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-person/personnel|O|O|O|O|O|O|O,train
employee|be|fold|up|portable|conveyor|for|transport|when|it|be|almost|fold|undetected|piece|of|limestone|dislodge|from|head|pulley|area|strike|him|on|the|head|and|face|he|have|skull|fracture|receive|stitch|in|head|knock|out|one|tooth|his|next|doctor|appointment|be|2/13/06|to|see|when|he|will|be|return|to|work,B-person/employee|O|O|O|O|B-equipment/mechanical_equipment/conveyor|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/head|O|O|O|O|O|O|B-body_part/head|O|O|O|O|O|B-injury/fracture|O|O|O|B-body_part/head|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
employee|be|grant|an|award|from|west|virginia|worker|compensation|division|for|carpal|tunnel|syndrome,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
truck|driver|pick|up|load|on|site|not|mine|employee|employ|by|contractor|driver|be|tarping|the|load|and|fell|off|onto|the|ground|driver|be|not|use|fall|protection|harness|which|be|provide,O|B-person/driver|O|O|O|O|O|O|O|B-person/employee|O|O|B-person/contractor|B-person/driver|O|O|O|O|O|O|O|O|O|O|B-person/driver|O|O|O|B-accident_cause/fall|O|O|O|O|O,train
employee|state|that|while|lift|''|pvc|pipe|to|hang|on|chain|along|the|south|conveyor|belt|he|felt|pain|in|the|low|middle|section|of|his|abdomen|employee|finish|the|shift|but|be|later|diagnose|with|hernia|require|surgery|to|repair,B-person/employee|O|O|O|O|O|O|B-equipment/pipe|O|O|O|O|O|O|O|B-equipment/mechanical_equipment/conveyor|O|O|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O,train
employee|be|up|on|the|ladder|of|992|loader|service|it|and|raise|up|and|hit|head|on|the|boom|employee|then|fell|over|on|the|fuel|truck,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/head|O|O|O|B-person/employee|O|O|O|O|O|O|O,train
roof|fall|be|found|at|cross-cut|number|47|in|the|number|entry|of|south|main|a.|the|fall|be|approximately|30|foot|long|18|foot|wide|and|foot|high|area|be|bolt|with|install|iii|bolt|resin|assist|the|area|be|screen|and|we|use|bacon|strap|fell|above|anchorage|point|this|area|be|not|normally|travel,O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
employee|be|help|change|lift|cylinder|when|the|cylinder|fell|on|his|finger,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O,train
"employee|be|plug|up|out|go|13,200|cat|head|transformer|locate|on|bottom|of|shaft-|aggravate|low|back|felt|pain|in|low|back",B-person/employee|O|O|O|O|O|O|O|B-body_part/head|O|O|O|O|O|O|O|B-body_part/back/lower_back|I-body_part/back/lower_back|O|O|O|B-body_part/back/lower_back|I-body_part/back/lower_back,train
while|work|on|communication|equipment|employee|relaxed|his|hand|to|his|side|where|his|right|pinky|finger|come|into|contact|with|the|partially|expose|blade|of|utility|knife|medical|aid|be|sought|and|five|stitch|be|require,O|O|O|O|B-equipment|B-person/employee|O|O|B-body_part/arm/hand|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
injured|developed|breathing|difficulty|after|jackhammering|chunk|from|number|18|cement|bin|be|wear|safety|glass|and|respirator|do|not|become|reportable|until|8-25-00|when|he|start|miss|work,O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
remove|trash|from|supply|car|box|have|metal|banding|material|hang|from|it|when|he|picked|it|up|to|throw|into|dumpster|the|banding|struck|his|nose|cause|laceration|that|require|suture|to|close|after|treatment|he|return|to|work|with|no|restriction,O|O|O|O|B-vehicle/light_vehicle/car|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/head/nose|O|B-injury/laceration|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
employee|be|work|in|finish|mill|building|when|employee|start|feel|dizzy|employee|walk|outside|to|get|some|fresh|air|employee|sat|down|to|rest|and|try|to|stand|up|employee|realize|employee|be|too|dizzy|nauseate|and|could|not|see|very|well|employee|then|laid|down|on|the|walk|way|until|help|could|arrive|and|go|to|emergency-room-|note|employee|do|state|at|begin|of|shift|that|employee|be|not|feel|well,B-person/employee|O|O|O|O|O|O|O|B-person/employee|O|O|O|B-person/employee|O|O|O|O|O|O|O|B-person/employee|O|O|O|O|O|O|O|O|O|B-person/employee|O|B-person/employee|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|O|O|O|O|O|B-person/employee|O|O|O|O,train
employee|be|walk|carry|jackhammer|tripped|on|the|baggy|jean|he|be|wear|and|fell|strike|his|head|on|the|ground|employee|go|to|the|emergency-room-|late|in|the|even|with|severe|headache|diagnosis|minor|concussion,B-person/employee|O|B-activity/walking|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/head|O|O|O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|B-severity/minor|O,train
employee|be|load|volvo|hauler|from|bin|with|''|rip|rap|when|he|get|struck|by|piece|of|rock|the|rock|may|have|struck|the|left|side|of|his|hard|hat|cause|contusion|to|the|left|side|of|his|head|temple|area,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-injury/bruises/contusion|O|O|O|O|O|O|B-body_part/head|O|O,train
perform|maintenance|work|in|shop|on|euclid|water|truck|when|particle|of|dirt|get|into|his|eye|no|impairment|to|vision|doctor|be|able|to|remove|the|dirt,O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/head/eye|O|O|O|O|O|O|O|O|O|O|O,train
while|he|be|fabricate|curve|steel|shaft|water|ring|and|move|it|around|the|steel|shift-and-|pull|his|left|arm|down|twist|it,O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/arm/left_arm|I-body_part/arm/left_arm|O|O|O,train
rock|fall|at|spad|2687|70|15|high|one|side|of|fall|be|slip|clean|rock|and|bolt|place,O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|B-accident_cause/fall|O|O|O|O|O|O|O,train
employee|be|loosening|the|bolt|on|d11|final|drive|with|an|air|wrench|when|he|experienced|pain|in|his|left|hand|doctor|determine|he|have|sprain|and|carpal|tunnel|which|be|relative|to|his|job|a|mechanic|which|involves|repetitive|motion|he|return|to|work|8/29/00|operation|be|schedule|11/22/00|and|he|work|his|shift|until|this|date|this|matter|brought|to|my|attention|12/20/00,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/arm/hand/left_hand|I-body_part/arm/hand/left_hand|O|O|O|O|B-injury/muscle/sprain|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
the|number|elevator|be|remove|from|service|for|schedule|maintenance|9:00|be|the|bottom|man|way|man|door|be|remove|repair|and|replace|the|elevator|be|return|to|service|approximately|6:00|pm|escapeways|be|rerouted|and|individual|be|notify|of|the|change|during|the|plan|outage,O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
employee|complaint|of|pain|and|numbness|to|both|shoulder|and|hand|from|opening|and|closing|tight|valve|continuous|trauma|illness|to|left|and|right|shoulder|result|in|rotator|cuff|tear-surgical-|repair,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/arm/shoulder/right_shoulder|I-body_part/arm/shoulder/right_shoulder|O|O|O|O|O|O,train
our|worker|be|cleaning|restroom|and|a|she|be|connect|sprayer|that|have|chemical|call|century|in|it|to|garden|hose|the|connection|wasn't|secure|spray|back|on|her|face|even|with|safety|glass|on|the|water|and|chemical|ran|down|her|forehead|and|into|her|left|eye,O|B-person/worker|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/back|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/head/eye/left_eye|I-body_part/head/eye/left_eye,train
employee|have|complaint|of|sore|left|wrist|due|to|operating|loader,B-person/employee|O|O|O|O|B-body_part/arm/wrist/left_wrist|I-body_part/arm/wrist/left_wrist|O|O|O|O,train
employee|have|use|cable|pulley|to|lift|screen|from|the|ground|to|the|screen|deck|he|be|attempt|to|remove|the|pulley|from|the|chain|that|be|hold|it|a|he|lift|the|pulley|to|unhook|the|chain|the|pulley|slip|and|the|chain|whip|around|and|struck|his|finger,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
employee|be|replace|guard|on|the|c14|conveyor|belt|head|pulley|when|it|fell|he|attempt|to|catch|it|and|strain|his|back|he|be|take|to|the|clinic|and|release|he|be|take|to|the|clinic|for|follow|up|on|01/03/2013|be|give|prescription|for|pain,B-person/employee|O|O|O|O|O|O|B-equipment/mechanical_equipment/conveyor|O|B-body_part/head|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/back|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
employee|have|the|saddle|in|the|vice|right|side|up|and|be|use|hammer|and|chisel|to|cut|the|bolt|off|when|the|bolt|cut|his|hand|come|in|contact|with|the|sharp|worn|edge|of|the|saddle|and|cut|his|hand,B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/arm/hand|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/arm/hand,train
report|only|minor|bruising|to|right|shoulder|occur|due|to|fall|employee|return|to|full|duty|without|restriction|employee|be|take|to|the|hospital|a|precaution|the|employee|fell|while|walk|on|loader|tire|instead|of|use|the|equipment|ladder,O|O|B-severity/minor|O|O|B-body_part/arm/shoulder/right_shoulder|I-body_part/arm/shoulder/right_shoulder|O|O|O|B-accident_cause/fall|B-person/employee|O|O|O|O|O|O|B-person/employee|O|O|O|O|O|O|O|O|B-person/employee|O|O|B-activity/walking|O|O|O|O|O|O|O|B-equipment|O,train
operator|heard|loud|pop|look|back|and|saw|flame|come|out|of|exhaust|pipe|cause|smoke|to|fill|area|result|turbo|charger|on|fire|operator|choose|to|leave|area|and|start|evacuation|of|mine,B-person/operator|O|O|O|O|B-body_part/back|O|O|O|O|O|O|O|B-equipment/pipe|O|O|O|O|O|O|O|O|O|O|B-person/operator|O|O|O|O|O|O|O|O|O,train
while|operating|the|portable|power-screen-|jaw|crusher|the|employee|have|rock|fall|from|above|that|struck|the|operator|control|panel|the|control|panel|door|stuck|the|employee|in|the|back|the|extent|of|the|injury|to|the|employee|be|unknown|so|the|emergency|response|team|call|an|ambulance|immediately|employee|be|take|to|the|emergency|room,O|O|O|O|O|O|B-equipment/mechanical_equipment/crusher|O|B-person/employee|O|O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|B-body_part/back|O|O|O|O|B-injury|O|O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|O|O|O|O,train
hold|remote|for|shield|while|move|walk|shield|rock|fell|pin|leg|against|pallet|of|crib|employee|continued|to|work|leg|be|still|sore|mri|reveal|small|crack|his|last|day|work|be|12/29/2011,O|O|O|O|O|O|B-activity/walking|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|O|B-body_part/leg|O|O|O|O|O|O|O|O|O|O|O|O|O,train
employee|be|help|build|brattice|while|reach|coworker|brattice|block|his|right|foot|get|stuck|in|the|mud|cause|right|knee|to|twist|tear|anterior-cruciate-ligament-|ligament|employee|become|lose|time|on|08/06/12|due|to|this|injury,B-person/employee|O|O|O|O|O|O|O|O|O|O|B-body_part/leg/foot/right_foot|I-body_part/leg/foot/right_foot|O|O|O|O|O|O|B-body_part/leg/knee/right_knee|I-body_part/leg/knee/right_knee|O|O|O|O|O|B-person/employee|O|O|O|O|O|O|O|O|B-injury,train
employee|be|remove|an|equipment|belly|pan|from|the|fork|of|forklift|material|slip|and|pinch|hand|between|floor|and|belly|pan,B-person/employee|O|O|O|B-equipment|O|O|O|O|O|O|B-vehicle/light_vehicle/forklift|O|O|O|O|B-body_part/arm/hand|O|O|O|O|O,train
the|hoist|be|lower|in|the|automatic|mode|the|cage|have|an|empty|car|on|it|when|brake|shoe|set|at|approx|50|foot|above|the|coal|seam|only|one|shoe|caught|cause|the|cage|to|bend|it|guide|roller,O|O|O|O|O|O|O|O|O|B-equipment/cage|O|O|O|B-vehicle/light_vehicle/car|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-equipment/cage|O|O|O|O|O,train
employee|be|hang|magnet|on|beltline|and|fell|injure|his|right|shoulder|employee|have|two|week|no|overtime|restriction,B-person/employee|O|O|O|O|O|O|O|O|O|B-body_part/arm/shoulder/right_shoulder|I-body_part/arm/shoulder/right_shoulder|B-person/employee|O|O|O|O|O|O,train
replace|worn|metal|under|crusher|other|employee|be-swing-|sledge|hammer|to|get|metal|loose|employee|reach|in|to|get|dirt|away|other|employee|swung|and|hit|employee|on|left|hand|little|finger,O|O|O|O|B-equipment/mechanical_equipment/crusher|O|B-person/employee|O|O|O|O|O|O|O|B-person/employee|O|O|O|O|O|O|O|B-person/employee|O|O|O|B-person/employee|O|B-body_part/arm/hand/left_hand|I-body_part/arm/hand/left_hand|O|O,train
rid|in|battery|power|mantrip|at|belt|drive|boom|hole|the|mantrip|driver|decide|to|turn|the|mantrip|around|the|victim|do|not|keep|his|head|down|in|the|low|seam|height|and|he|hit|his|head|on|the|mine|roof,O|O|O|O|O|O|O|O|O|O|O|O|B-person/driver|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/head|O|O|O|O|O|O|O|O|O|O|B-body_part/head|O|O|O|O,train
type|of|support|tension|rebar|cover|approximately|200|spad|6219.|dimension|length|40|width|16|height|see|attach|map|condition|contribute|high|humidity|cause|detachment|on|roof|support,O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
crabapple|elevator|be|non-operational|due|to|the|break|need|adjustment|the|elevator|be|able|to|be|operate|in|manual|no|injury|be|report|due|to|this|incident|elevator|manufacturer|be|contact|and|perform|maintenance,O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
report|claim|on|occupational|pneumoconiosis|by|west-virginia-|worker|compensation|due|to|exposure|to|dust,O|O|O|O|O|O|O|O|O|O|O|O|O|O,train
employee|state|opening|wheel|valve|and|thumb|get|caught|between|valve|and|stem|at|two|tank|area,B-person/employee|O|O|O|O|O|B-body_part/arm/hand/thumb|O|B-accident_cause/caught_between|I-accident_cause/caught_between|O|O|O|O|O|O|O,train
contractor|be|plaster|stop|and|the|plaster|splash|behind|his|safety|glass|and|into|his|eye|he|flush|his|eye|and|continued|work|but|later|his|eye|become|irritated|he|later|go|to|the|hospital|the|hospital|flush|his|eye|and|prescribed|maxitrol|antibiotic|drop,B-person/contractor|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/head/eye|O|O|O|B-body_part/head/eye|O|O|O|O|O|O|B-body_part/head/eye|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/head/eye|O|O|O|O|O,train
the|fall|occur|at|the|main|section|51|cross-cut|number|head|intersection|at|2000-ft-|outby|the|face|the|area|be|bolt|with|ft-|fully|grout|resin|bolt|and|12-ft-|post-tension|cable|bolt|ventilation|be|not|disturbed|and|travelways|be|not|affected|no|equipment|be|involve|and|no|injury|be|report,O|B-accident_cause/fall|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-equipment|O|O|O|O|O|O|O,train
employee|be|step|down|out|of|euclid|haul|truck|and|fell|to|ground|do|not|know|if|he|slip|or|miss|step|not|sure|what|happen|employee|dislocate|right|shoulder|and|crack|pelvic|bone,B-person/employee|O|B-accident_cause/stepping|O|O|O|O|B-vehicle/heavy_vehicle/haul_truck|I-vehicle/heavy_vehicle/haul_truck|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|B-body_part/arm/shoulder/right_shoulder|I-body_part/arm/shoulder/right_shoulder|O|O|O|O,train
employee|be|walk|in|the|course|of|his|work|duties.-he-|report|he|step|on|uneven|ground|and|twist|his|right|ankle,B-person/employee|O|B-activity/walking|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/leg/ankle/right_ankle|I-body_part/leg/ankle/right_ankle,train
one|miner|be|entrap|on|the|miracle|run|elevator|for|approximately|hour|the|rail|the|car|run|on|experienced|seasonal|expansion|which|cause|the|safety|circuit|to|trip|on|the|car|schindler|elevator|service|correct|the|issue,O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-vehicle/light_vehicle/car|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-vehicle/light_vehicle/car|O|O|O|O|O|O,train
a|the|employee|be|help|to|install|pin|to|hold|the|grapple|onto|the|equipment|another|employee|be|use|sledge|hammer|to|pound|the|pin|into|place|the|hammer|glance|off|of|the|pin|strike|employee|in|the|face|cause|contusion|on|the|right|side|of|face,O|O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|B-equipment|O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-person/employee|O|O|O|O|B-injury/bruises/contusion|O|O|O|O|O|O,train
employee|be|fix|feed|chain|hand|slip|while|pull|chain|hit|hand|on|feed|rail|laceration|to|right|wrist|require|staple,B-person/employee|O|O|O|O|B-body_part/arm/hand|O|O|O|O|O|B-body_part/arm/hand|O|O|O|B-injury/laceration|O|B-body_part/arm/wrist/right_wrist|I-body_part/arm/wrist/right_wrist|O|O,train
a|employee|be|grade|the|haul|road|he|hit|rock|with|his|blade|cause|quick|jerk|to|his|back,O|B-person/employee|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|O|B-body_part/back,train
